n,m,count_baseline,count_ours,depth_baseline,depth_ours
4,4,6,6,6,6
4,4,4,4,4,4
4,16,75,75,71,71
5,4,7,7,7,7
5,5,10,10,10,10
5,25,141,141,131,131
6,4,10,10,10,9
6,6,13,13,13,13
6,36,230,230,206,206
7,4,12,13,12,10
7,7,22,22,21,20
7,49,351,351,315,315
4,4,5,5,5,5
4,4,7,7,7,7
4,16,75,75,71,71
5,4,7,7,7,7
5,5,12,12,11,11
5,25,142,140,132,130
6,4,10,9,10,8
6,6,15,15,15,14
6,36,227,214,207,202
7,4,12,13,12,11
7,7,21,21,20,20
7,49,458,454,422,422
4,4,9,9,9,9
4,4,5,5,5,5
4,16,75,75,71,71
5,4,7,7,7,7
5,5,11,11,11,11
5,25,145,143,134,133
6,4,7,7,7,7
6,6,16,16,15,15
6,36,246,246,223,223
7,4,11,12,11,10
7,7,18,20,18,18
7,49,694,692,662,661
4,4,6,6,6,6
4,4,7,7,7,7
4,16,75,75,71,71
5,4,7,7,7,7
5,5,8,8,8,8
5,25,174,174,163,163
6,4,8,8,8,7
6,6,14,14,14,13
6,36,250,250,226,226
7,4,12,11,12,10
7,7,28,26,27,23
7,49,366,366,331,331
4,4,7,7,7,7
4,4,5,5,5,5
4,16,75,75,71,71
5,4,7,7,7,7
5,5,10,10,10,10
5,25,142,142,131,131
6,4,10,11,10,9
6,6,16,16,15,15
6,36,262,262,244,244
7,4,11,12,11,10
7,7,23,19,22,18
7,49,450,450,415,415
4,4,7,7,7,7
4,4,7,7,7,7
4,16,75,75,71,71
5,4,9,10,9,9
5,5,8,8,8,8
5,25,165,165,154,154
6,4,8,8,8,7
6,6,15,15,15,15
6,36,241,241,222,222
7,4,7,7,7,7
7,7,22,21,22,19
7,49,395,395,352,352
4,4,6,6,6,6
4,4,6,6,6,6
4,16,75,75,71,71
5,4,5,5,5,5
5,5,10,10,10,10
5,25,158,158,146,146
6,4,13,13,13,11
6,6,13,13,13,13
6,36,290,290,271,271
7,4,11,11,11,10
7,7,18,19,18,18
7,49,427,427,387,387
4,4,7,7,7,7
4,4,5,5,5,5
4,16,75,75,71,71
5,4,8,8,8,8
5,5,13,13,13,13
5,25,152,152,144,144
6,4,11,10,11,9
6,6,17,17,17,17
6,36,242,242,223,223
7,4,10,11,10,9
7,7,26,23,25,21
7,49,365,365,324,324
4,4,8,8,8,8
4,4,6,6,6,6
4,16,75,75,71,71
5,4,7,7,7,7
5,5,9,9,9,9
5,25,132,132,120,120
6,4,9,9,9,9
6,6,18,17,18,16
6,36,237,237,215,215
7,4,7,7,7,6
7,7,23,23,22,22
7,49,387,387,348,348
4,4,6,6,6,6
4,4,8,8,8,8
4,16,75,75,71,71
5,4,6,6,6,6
5,5,12,12,12,12
5,25,166,166,156,156
6,4,8,9,8,8
6,6,12,12,12,12
6,36,293,293,270,270
7,4,8,8,8,8
7,7,16,17,16,16
7,49,437,437,410,410
