baseline_density,baseline_qubit,baseline_sota,ours,num_qubits,sparsity
19,62,245,13,6,1
27,126,175,20,7,1
29,254,262,21,8,1
56,510,414,39,9,1
59,1022,292,47,10,1
76,2046,601,49,11,1
97,4094,752,66,12,1
114,8190,902,82,13,1
123,16382,1027,85,14,1
153,32766,1044,107,15,1
174,65534,1241,123,16,1
196,131070,1194,148,17,1
205,262142,1329,154,18,1
241,524286,1497,176,19,1
17,62,201,12,6,1
23,126,277,17,7,1
38,254,355,26,8,1
56,510,505,36,9,1
68,1022,535,49,10,1
66,2046,707,49,11,1
77,4094,534,54,12,1
109,8190,924,81,13,1
137,16382,939,90,14,1
157,32766,1284,96,15,1
168,65534,1049,129,16,1
185,131070,1253,130,17,1
232,262142,1333,155,18,1
254,524286,1560,162,19,1
30,62,229,17,6,1
22,126,362,18,7,1
50,254,415,29,8,1
40,510,446,32,9,1
50,1022,473,35,10,1
103,2046,826,56,11,1
86,4094,545,67,12,1
117,8190,851,68,13,1
120,16382,882,93,14,1
159,32766,1234,109,15,1
182,65534,1260,118,16,1
179,131070,1399,130,17,1
218,262142,1318,144,18,1
253,524286,1426,169,19,1
17,61,170,13,6,1
31,126,208,16,7,1
32,254,340,26,8,1
47,510,594,35,9,1
67,1022,515,38,10,1
72,2046,710,51,11,1
80,4094,807,55,12,1
105,8190,1007,69,13,1
122,16382,1012,85,14,1
139,32766,1105,97,15,1
179,65534,1031,101,16,1
177,131070,1287,129,17,1
230,262142,1483,152,18,1
249,524286,1350,175,19,1
21,62,73,15,6,1
25,126,230,19,7,1
30,254,460,24,8,1
50,510,564,36,9,1
72,1022,487,48,10,1
80,2046,871,48,11,1
93,4094,774,70,12,1
111,8190,731,75,13,1
134,16382,894,91,14,1
143,32766,1103,109,15,1
174,65534,1079,120,16,1
208,131070,1312,120,17,1
217,262142,1448,152,18,1
255,524286,1499,180,19,1
28,62,170,19,6,1
23,126,211,18,7,1
36,254,410,25,8,1
55,510,534,42,9,1
52,1022,678,39,10,1
80,2046,495,56,11,1
86,4094,912,61,12,1
118,8190,727,80,13,1
126,16382,884,84,14,1
148,32766,1069,100,15,1
166,65534,1054,131,16,1
203,131070,1250,146,17,1
210,262142,1466,167,18,1
232,524286,1474,161,19,1
17,62,202,13,6,1
38,126,325,24,7,1
31,254,363,21,8,1
51,510,451,37,9,1
59,1022,615,51,10,1
79,2046,690,59,11,1
97,4094,751,61,12,1
95,8190,859,68,13,1
115,16382,1182,99,14,1
144,32766,1178,96,15,1
178,65534,1101,128,16,1
196,131070,1266,132,17,1
230,262142,1528,148,18,1
226,524286,1392,150,19,1
20,62,111,15,6,1
26,126,179,20,7,1
35,254,312,27,8,1
50,510,512,39,9,1
54,1022,482,37,10,1
80,2046,534,63,11,1
111,4094,902,71,12,1
117,8190,925,77,13,1
123,16382,880,86,14,1
151,32766,1035,105,15,1
183,65534,1207,117,16,1
208,131070,1467,138,17,1
217,262142,1244,150,18,1
238,524286,1431,158,19,1
24,57,54,11,6,1
22,126,285,18,7,1
35,254,420,26,8,1
56,510,519,40,9,1
53,1022,508,40,10,1
55,2046,700,47,11,1
112,4094,814,66,12,1
120,8190,763,80,13,1
129,16382,871,85,14,1
176,32766,1116,116,15,1
174,65534,1255,115,16,1
193,131070,1509,139,17,1
232,262142,1335,147,18,1
237,524286,1578,180,19,1
29,62,208,15,6,1
33,126,233,17,7,1
45,254,365,25,8,1
47,510,246,34,9,1
72,1022,602,43,10,1
84,2046,634,57,11,1
84,4094,945,61,12,1
107,8190,734,80,13,1
140,16382,974,88,14,1
165,32766,1095,103,15,1
174,65534,1299,122,16,1
208,131070,1121,142,17,1
204,262142,1480,145,18,1
243,524286,1525,167,19,1
