,num_qubit,sparsity,baseline,ours,time
0,4,1,141,7,0.17194758000550792
1,4,2,241,6,0.3624514710099902
2,4,3,62,7,0.14110284400521778
3,5,1,237,22,0.26953468199644703
4,5,2,601,46,0.6407105200050864
5,5,3,527,46,0.6618231460015522
6,6,1,241,46,0.263401962001808
7,6,2,645,140,0.7679230770008871
8,6,3,779,188,1.0752391029964201
9,7,1,311,94,0.278631734996452
10,7,2,899,376,1.275348472991027
11,7,3,1263,660,2.458079323012498
12,8,1,395,190,0.3209939699881943
13,8,2,1335,944,1.6658085429953644
14,8,3,2327,2076,3.852838035003515
15,9,1,493,382,0.399852528993506
16,9,2,1923,2272,2.122647809999762
17,9,3,4107,6044,6.168562851002207
18,10,1,605,766,0.4149243150022812
19,10,2,2685,5312,3.1750071840069722
20,10,3,6767,16636,10.183225993998349
